TD SNX Sku,MFR Name,MFR Part,Description,UPC number,Warehouse,QTY Available,Promo,Promo valid until,MSRP,Unit Price,QTY,EXT Price,Billing Frequency
6359947,"RING, LLC",B08HSTJPM5,"Ring Alarm Pro 8-piece Kit - Ethernet, Bluetooth for set-up, Z-wave, WiFi, WiFi-6 capable, LTE, 902- 928 MHz Radio - Adaptor included 100-240V AC  50-60Hz. Output : 12V DC - 3A (max)","=""840080508863""",Any,12,NO,,$299.99,$226.22,1,$226.22,
15154679,"RING, LLC",B0CZVXB3XT,"Ring - Battery Doorbell with Indoor Cam Battery Doorbell - Head-to-Toe HD Video, Color Night Vision, Live View with Two-Way Talk, Motion Detection, Smart Alerts, Custom Motion Zones & Privacy Settings, Easy DIY Install, Built-In Rechargeable Battery....","=""840414608344""",Any,0,NO,,$139.99,$108.71,1,$108.71,
15154671,"RING, LLC",B0F151GFYR,"Ring Wired Doorbell Pro (Newest Model)  Retinal 4K with wide-angle video, 10x Enhanced Zoom, and Low-Light Sight, Deep Silver - 3D Motion Detection with Customizable Motion Zones - Two-way talk with Audio+ - 4K video resolution, Low-Light Sight with...","=""840414665354""",Any,0,NO,,$249.99,$178.18,1,$178.18,
15154756,"RING, LLC",B086Q54K53,"Ring Video Doorbell Pro 2 - 1536p HD+ Live Video, HDR, Live View, Color Night Vision - 3D Motion Detection with Birds Eye View - Two-Way Talk with Audio+ - 150 degree horizontal, 150 degree vertical","=""842861112931""",Any,0,NO,,$229.99,$163.93,1,$163.93,
14168969,"ARLO TECHNOLOGIES, INC.",VMB4540-100NAR,"MANUFACTURER RENEWED ARLO PRO SMARTHUB BASE STATION (WHITE) - CONNECTS ARLO CAMERAS TO WI-FI, WORKS WITH ARLO ULTRA 2, ULTRA, PRO 5S 2K, PRO 4, PRO 3, PRO 2, FLOODLIGHT, ESSENTIAL & VIDEO DOORBELL CAMERAS - 90-DAY WARRANTY W/ FREE 30-DAY ARLO...","=""193108145244""",Any,1264,NO,,$99.99,$50.00,1,$50.00,
14168968,"ARLO TECHNOLOGIES, INC.",VMA5600-20000R,"MANUFACTURER RENEWED ARLO SOLAR PANEL CHARGER - WORKS WITH ARLO PRO 5S 2K, PRO 4, PRO 3, FLOODLIGHT, ULTRA 2, AND ULTRA CAMERAS, WEATHER RESISTANT, EASY INSTALL, WHITE - 90-DAY WARRANTY W/ FREE 30-DAY ARLO SUBSCRIPTION - refurb recert","=""193108144889""",Any,227,NO,,$59.99,$30.00,1,$30.00,
7274052,"ARLO TECHNOLOGIES, INC.",VMC4060B-100NAS,"Arlo Pro 5S 2K Security Cam, 2K Video Quality, 2-Way Audio, Package Detection,Arlo Security System,Motion Detection & Alerts, Built-in Siren,Night Vision,Wireless security Camera, Works w/Alexa,Blk","=""193108144407""",Any,1,NO,,$179.99,$174.60,1,$174.60,
15131139,"ARLO TECHNOLOGIES, INC.",VMC3273-100NAS,"Protect your family with smart home security, crystal-clear 2K resolution, an Automated Privacy Shield and 360 pan and 180 tilt viewing capabilities. Get Automatic Motion Tracking and alerts, and watch live video on your phone. Stay connected and...","=""193108148504""",Any,0,NO,,$99.99,$98.68,1,$98.68,
14168973,"ARLO TECHNOLOGIES, INC.",VMC3250-100NAR,MANUFACTURER RENEWED ARLO ESSENTIAL 2 OUTDOOR BATTERY POWERED 2K CAMERA (2 PACK-WHITE) - INDOOR & OUTDOOR USE - 130 FIELD OF VIEW - INTEGRATED SPOTLIGHT - 2-WAY AUDIO - BATTERY POWERED - COLOR NIGHT VISION - 90-DAY WARRANTY W/ FREE 30-DAY ARLO...,"=""193108148030""",Any,0,NO,,$189.99,$98.27,1,$98.27,
14207016,"ARLO TECHNOLOGIES, INC.",VMK2430-1SCNAS,NEW ARLO ESSENTIAL HD SPOTLIGHT CAMERA + SOLAR PANEL (4 CAMERAS + 1 SOLAR PANEL) 1-YEAR WARRANTY,"=""193108142656""",Any,0,NO,,$449.99,$197.00,1,$197.00,
15131139,"ARLO TECHNOLOGIES, INC.",VMC3273-100NAS,"Protect your family with smart home security, crystal-clear 2K resolution, an Automated Privacy Shield and 360 pan and 180 tilt viewing capabilities. Get Automatic Motion Tracking and alerts, and watch live video on your phone. Stay connected and...","=""193108148504""",Any,0,NO,,$99.99,$98.68,1,$98.68,
